"Figure 1. Trends in April Snowpack in the Western United States, 1955-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: Mote and Sharp, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
State,Lat,Long,Trend (%)
OR,43.99,-121.54,-29.9483
OR,44.14,-121.64,-34.2879
OR,44.66,-118.43,-50.472
OR,43.25,-122.29,-32.9835
UT,39.14,-111.56,-63.9756
UT,41.38,-111.94,-10.7699
UT,40.46,-112.25,-15.1009
UT,38.3,-112.36,-9.20419
UT,38.68,-111.6,-20.8538
UT,38.51,-112.02,-17.7278
UT,40.6,-111.58,-21.3397
UT,37.63,-112.17,-13.1407
UT,37.87,-109.45,-26.0084
UT,41.68,-111.42,-20.1477
UT,40.98,-110.85,-52.9482
UT,40.85,-111.05,-11.223
UT,40.89,-111.07,-2.56323
UT,40.92,-111.09,-31.1226
UT,39.87,-111.28,-20.2821
UT,39.89,-111.25,-19.0532
UT,40.3,-111.26,-32.8157
UT,39.05,-111.47,-32.5944
UT,38.21,-111.48,-11.2253
UT,41.41,-111.54,-36.5388
UT,40.99,-111.82,25.3993
UT,38.77,-111.68,1.98476
UT,38.51,-111.77,-20.5791
UT,39.32,-111.49,-29.4022
UT,39.3,-111.45,-16.9656
UT,41.92,-111.47,-37.3916
UT,38.79,-111.69,-22.8919
UT,37.49,-112.58,-32.7229
UT,40.8,-110.88,-29.2826
UT,40.19,-111.36,-26.4345
UT,41.31,-111.45,-27.8937
UT,39.61,-111.3,-22.8642
UT,39.89,-110.75,-23.8144
UT,38.48,-112.39,-14.3193
UT,40.72,-109.54,-29.5688
UT,41.97,-111.6,-29.3387
UT,40.6,-110.43,-0.308569
UT,38.48,-109.29,-41.1784
UT,40.86,-110.8,-16.3088
UT,37.51,-113.4,-57.9508
UT,39.68,-111.32,-24.3666
UT,40.48,-112.2,-19.9222
UT,37.57,-112.84,5.06818
UT,40.63,-111.63,-31.3361
UT,41.47,-111.5,-21.2904
UT,40.61,-109.89,6.71453
UT,39.14,-111.51,-17.748
UT,39.63,-111.15,-14.5366
UT,40.76,-111.63,-30.9302
UT,39.93,-111.63,-46.6164
UT,38.88,-112.25,-13.863
UT,40.67,-111.22,-26.5948
UT,39.45,-111.27,-38.3313
UT,40.55,-110.69,-2.9705
UT,40.44,-112.24,-17.4376
UT,39.31,-111.43,-27.0241
UT,40.79,-111.12,-19.5585
UT,38.5,-112.01,-3.33218
UT,40.87,-110.83,-33.3999
UT,40.16,-111.21,-37.2581
UT,40.43,-111.62,-27.517
UT,41.9,-111.63,-18.3279
UT,41.88,-111.57,-21.7397
UT,40.68,-110.95,-19.4888
UT,40.68,-110.95,-24.6207
UT,37.58,-112.9,-32.318
UT,39.96,-110.99,-27.896
UT,39.92,-111.06,-53.4552
UT,39.13,-111.35,-27.5537
UT,37.75,-112.77,-10.3551
WA,46.52,-121.02,-72.0871
WA,48.82,-121.19,-17.2151
WA,48.88,-121.26,-27.3306
WA,47.35,-120.68,-42.5051
WA,48.19,-117.43,-29.6554
WA,47.32,-121.52,-65.6934
WA,47.02,-121.46,-14.1313
WA,47.95,-123.26,-46.725
WA,48.75,-120.86,-10.9189
WA,47.53,-121.09,-24.2596
WA,47.54,-121.09,-34.194
WA,48.95,-120.93,-31.5321
WA,46.55,-121.17,20.192
WA,48.72,-120.66,-16.2946
WA,48.72,-120.66,-24.1396
WA,47.97,-123.5,-59.1728
WA,48.2,-120.92,-15.1912
WA,48.58,-121.03,-74.8033
WA,48.68,-119.87,-5.98613
WA,47.37,-121.44,-25.2608
WA,46.78,-121.75,-16.9414
WA,48.44,-120.91,-2.84932
WA,48.44,-120.92,-12.2304
WA,48.52,-120.74,-15.0595
WA,48.52,-120.74,-23.4058
WA,48.53,-119.86,-50.5961
WA,48.66,-119.84,-31.0828
WA,47.27,-121.34,-29.1594
WA,48.52,-120.99,-24.9176
