"Figure 4. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
MS,34.8219,-89.4347,24.08782161
MS,33.0583,-89.5797,0
MS,31.6756,-89.1236,0
MS,33.1356,-89.0711,0
MS,31.5519,-90.1058,17.63171355
MS,33.4517,-90.5097,-17.77621483
MS,31.5889,-91.3408,-23.72122762
MS,30.3961,-88.4781,-16.97792053
MS,34.1381,-88.9983,0
MS,30.8408,-89.5453,0
MS,31.985,-90.9719,0
MS,33.4692,-88.7822,0
MS,34.3725,-89.5308,0
MS,34.1583,-89.6311,0
MS,31.6772,-88.6708,0
MS,31.0931,-91.2325,-13.75432692
MS,32.9028,-90.3817,16.08595352
MO,38.1869,-94.0281,-22.0971867
MO,39.4247,-93.1331,-19.50127877
MO,36.1261,-89.7,0
MO,38.395,-93.7711,0
MO,40.2394,-94.6833,-19.22250639
MO,36.6206,-90.8125,-15.51534527
MO,37.7922,-90.4103,0
MO,38.5853,-92.1825,-10.49360614
MO,37.4933,-94.3147,0
MO,37.685,-92.6936,0
MO,39.1828,-93.855,-17.05798825
MO,37.3908,-93.9489,-11.40409207
MO,37.3036,-89.9664,-13.74936061
MO,39.1756,-91.8861,0
MO,39.4194,-92.4369,0
MO,37.1542,-92.2617,0
MO,36.8639,-94.36,0
MO,37.9572,-91.7758,0
MO,40.2472,-93.7158,0
MO,39.9714,-91.8872,0
MO,38.9664,-93.4194,-18.50383632
MO,40.475,-93.0031,0
MO,38.835,-91.1386,-14.71616627
MT,47.4931,-112.3964,0
MT,45.8328,-109.9503,0
MT,45.6622,-111.0453,10.89514066
MT,47.2194,-111.71,8.997442455
MT,48.5883,-109.2256,0
MT,47.8206,-112.1919,0
MT,45.2128,-112.6447,0
MT,45.8903,-104.5461,-6.818414322
MT,45.3394,-111.7111,13.52046036
MT,46.8511,-108.3133,0
MT,48.4983,-109.8014,0
MT,48.7783,-114.8997,0
MT,47.1064,-104.7183,0
MT,46.2553,-114.1642,8.036781153
MT,44.8667,-111.3392,0
MT,45.9228,-108.2444,7.762161799
MT,45.9353,-107.1375,0
MT,47.3144,-106.9103,0
MT,48.3042,-114.2636,0
MT,48.4036,-115.5392,0
MT,48.4828,-104.4514,-8.104859335
MT,47.0575,-109.9514,8.281594759
MT,45.4856,-111.6325,0
MT,46.3158,-113.3,0
MT,46.4178,-104.5164,0
MT,45.1897,-109.2861,9.265339424
MT,47.315,-114.0983,0
MT,47.4536,-104.3378,0
MT,48.3119,-112.2492,0
MT,47.88,-105.3686,0
MT,45.2925,-111.9481,0
NE,41.6853,-98.0083,-14.00566435
NE,42.1103,-102.8967,0
NE,41.0408,-96.3811,0
NE,42.5136,-99.0303,0
NE,40.3706,-95.7469,0
NE,40.1306,-99.8278,0
NE,41.6681,-103.1039,9.39769821
NE,41.4083,-99.675,-14.10230179
NE,40.6194,-96.9469,0
NE,40.6742,-100.4936,0
NE,41.2492,-97.1328,-11.9629156
NE,40.0739,-97.1669,-9.071611253
NE,40.6422,-97.5928,-17.82525183
NE,40.5314,-97.5964,-10.03452685
NE,41.4514,-97.7644,-11.56521739
NE,40.9394,-100.1514,-12.87723785
NE,42.6858,-103.8842,0
NE,42.6167,-97.2608,-22.54603581
NE,40.6472,-98.3836,-16.97570332
NE,40.175,-97.5903,-10.0230179
NE,40.4517,-99.3803,-20.00127877
NE,40.5208,-101.655,0
NE,41.2453,-103.6344,11.18158568
NE,41.1489,-102.6361,0
NE,41.2808,-98.9681,-20.81174013
NE,41.8292,-97.45,-22.56913799
NE,40.2156,-100.6203,0
NE,42.9194,-101.7089,0
NE,40.5156,-98.9514,-9.276214834
NE,41.4933,-98.7747,-20.60733802
NE,42.0644,-97.9667,-16.36956522
NE,40.1217,-96.1558,-17.11381074
NE,42.065,-100.2472,0
NE,40.0978,-98.5197,0
NE,41.2078,-98.4608,0
NE,40.8997,-97.0908,0
NE,40.6661,-96.1892,0
NE,40.3544,-96.1939,0
NE,41.7767,-96.2328,-10.87595908
NE,42.2647,-96.8667,-8.594629156
NE,40.8639,-96.1414,-20.78312212
NE,40.8678,-97.5922,0
NV,39.4931,-117.0675,0
NV,35.98,-114.8464,0
NV,39.4572,-118.7811,0
NV,40.9567,-117.4922,0
NV,40.1906,-118.4767,-7.617009877
NV,39.4136,-114.7733,22.16368286
NV,38.3844,-118.1056,0
NV,35.4661,-114.9217,0
NV,41.1006,-114.9736,-23.05133523
NH,43.1433,-70.95,0
NH,45.09,-71.2906,0
NH,43.7053,-72.2856,0
NH,42.9389,-72.3247,0
NJ,40.8922,-74.4033,9.019916102
NJ,41.0347,-74.4233,0
NJ,40.5631,-74.8831,-9.598465473
NJ,40.265,-74.5642,0
NJ,39.8144,-74.7883,0
NJ,40.2797,-74.0047,0
NJ,39.9511,-74.9697,25.21577797
NJ,40.6036,-74.4025,0
NM,36.835,-108.0006,9.001278772
NM,35.5297,-104.0936,0
NM,32.3478,-104.2225,16.81841432
NM,33.6308,-105.8964,0
NM,36.9178,-106.5781,0
NM,36.4661,-104.9456,9.609974425
NM,36.9358,-107,12.87851662
NM,33.1461,-107.1844,19.86257189
NM,32.7939,-108.1514,0
NM,34.4667,-104.2319,-23.15605629
NM,32.2261,-108.0867,21.07190853
NM,35.7783,-106.6872,16.05370844
NM,32.6161,-106.7403,-10.59846547
NM,34.7675,-106.7611,43.87305669
NM,33.8225,-108.9417,15.40752351
NM,32.9539,-105.8225,10.10997442
NM,34.5208,-106.2606,14.61892583
NM,32.3789,-106.0925,0
NM,36.71,-105.4164,0
NM,35.1086,-103.3283,0
NM,34.9358,-104.6805,0
NM,34.0828,-106.8831,0
NM,36.3628,-104.585,-22.17462701
NM,32.2822,-106.7597,18.0745398
NM,35.2006,-103.6867,18.53964194
NM,33.0719,-106.0411,0
NY,42.1014,-77.2344,0
NY,42.2497,-77.7583,8.789711091
NY,42.1003,-78.7497,-21.80561061
NY,42.3108,-78.0231,-10.76214834
NY,43.0303,-78.1692,0
NY,40.9461,-72.3069,14.75191816
NY,44.8786,-73.3953,-14.50132784
NY,42.7167,-74.9267,0
NY,42.6,-76.1833,0
NY,44.7192,-73.7206,-15.98337596
NY,42.5656,-77.7175,-25.06393862
NY,42.0628,-75.4264,0
NY,41.0072,-73.8344,0
NY,42.0997,-76.8358,-17.45268542
NY,42.4497,-79.312,-12.14221612
NY,43.0492,-74.3592,-10.67849211
NY,42.7742,-77.6083,0
NY,43.755,-74.2692,-20.71867008
NY,42.4492,-76.4492,0
NY,44.2489,-73.985,0
NY,44.7583,-74.6692,0
NY,43.0603,-74.8686,0
NY,43.1392,-78.6814,0
NY,43.7975,-75.4817,-13.97929004
NY,41.7681,-74.155,29.59335038
NY,42.8417,-75.7264,0
NY,42.5117,-75.5197,0
NY,44.7281,-75.4442,0
NY,43.4622,-76.4933,0
NY,41.38,-74.6847,-7.42096173
NY,43.0333,-73.8167,0
NY,40.9586,-73.1047,7.370306777
NY,43.9,-75.0367,-20.70716113
NY,42.75,-73.6833,0
NY,44.2308,-74.4383,0
NY,44.1481,-74.9003,0
NY,43.9761,-75.8753,0
NY,41.3906,-73.9608,-9.448951049
NY,41.2664,-73.7975,0
NC,35.3992,-80.1994,-13.99872123
NC,35.9086,-79.0794,0
NC,36.0164,-76.5517,0
NC,36.3097,-76.205,0
NC,35.0583,-78.8583,0
NC,36.3481,-78.4119,0
NC,35.3297,-82.4492,0
NC,35.0567,-83.1983,0
NC,35.1967,-77.5433,-23.16112532
NC,35.915,-81.5378,0
NC,36.1028,-78.3039,0
NC,34.6269,-79.025,0
NC,35.7072,-82.0289,0
NC,35.8036,-82.6658,0
NC,34.9797,-80.5233,0
NC,34.7336,-76.7358,-9.992327366
NC,35.7297,-81.6728,0
NC,36.4992,-80.6508,-9.335038363
NC,36.3825,-79.6947,15.43285687
NC,35.6836,-80.4822,-19.20971867
NC,35.5164,-78.3458,-15.08695652
NC,33.9947,-78.0078,39.7428883
NC,35.81,-80.8808,0
NC,35.8847,-77.5386,-13.88107417
NC,36.3919,-81.3039,0
NC,35.4867,-82.9683,0
NC,35.6939,-77.9456,0
ND,48.8217,-100.4525,-7.891304348
ND,48.9075,-103.2936,-8.858056266
ND,46.8911,-102.8111,0
ND,47.3467,-102.5869,0
ND,46.05,-100.6667,0
ND,46.1581,-98.4,-20.1202046
ND,48.4181,-97.4247,0
ND,47.9217,-97.0981,0
ND,45.9925,-102.6442,0
ND,47.4389,-97.0664,-10.85674937
ND,46.8844,-98.685,-13.12148338
ND,48.7622,-98.3447,-19.51790281
ND,46.4386,-97.6856,0
ND,46.8128,-100.9097,0
ND,46.6706,-100.2294,-10.91901882
ND,46.3719,-102.3164,11.86787997
ND,46.5067,-99.7692,-10.1713555
ND,46.5414,-102.8692,0
ND,46.8886,-102.3192,0
ND,48.3706,-100.3908,0
ND,46.3233,-96.6108,0
ND,48.6061,-100.2911,-7.636828645
OH,40.8128,-83.6111,0
OH,40.2686,-80.9981,-14.80373709
OH,41.0517,-81.9361,-13.65775401
OH,39.6106,-82.9547,-20.22122762
OH,40.2403,-81.8711,-23.62463473
OH,41.2783,-84.3847,0
OH,40.3175,-83.0739,-15.14279955
OH,41.0461,-83.6622,0
OH,40.1,-84.65,0
OH,39.2333,-83.6092,-22.18457722
OH,41.3072,-81.0133,-13.13938619
OH,40.6489,-83.6061,0
OH,39.6522,-81.8561,-25.11733059
OH,40.5375,-81.9197,13.12747178
OH,40.7692,-80.8561,0
OH,41.2667,-82.6167,-7.443734015
OH,41.2667,-82.2167,-16.07723301
OH,39.8386,-81.9167,-27.84335664
OH,38.7569,-82.8872,0
OH,41.1167,-83.1667,0
OH,40.8333,-83.2833,-12.70769231
OH,40.0986,-83.7822,0
OH,41.2019,-80.8106,-11.66751918
OH,41.5183,-84.1453,0
OH,39.1114,-82.9797,0
OH,40.7833,-81.9167,0
OK,34.7864,-96.685,0
OK,34.5903,-99.3344,0
OK,34.2208,-95.615,0
OK,34.1772,-97.1617,0
OK,36.8125,-100.5308,0
OK,36.7236,-102.4806,8.352941176
OK,36.8003,-99.64,12.13152842
OK,35.1756,-98.5794,-15.19963702
OK,36.7672,-98.4244,0
OK,36.3225,-95.5808,0
OK,34,-96.3686,-15.39931787
OK,36.4194,-97.8747,0
OK,35.2164,-99.8628,0
OK,35.6306,-98.3217,-18.98392385
OK,36.5914,-101.6181,10.75831202
OK,35.8161,-97.395,0
OK,35.585,-99.3953,-28.02091728
OK,36.0942,-97.835,0
OK,35.0567,-96.3861,0
OK,36.865,-101.2103,0
OK,36.7222,-97.7903,0
OK,36.9031,-102.965,-19.85814875
OK,35.8583,-97.9294,-14.19633257
OK,34.6097,-98.4572,0
OK,34.8911,-99.5017,-13.39228111
OK,35.505,-96.9772,0
OK,36.8833,-94.8833,-19.57761127
OK,35.7781,-95.3339,0
OK,36.2283,-99.17,0
OK,36.9425,-97.0036,0
OK,36.1217,-98.315,0
OK,35.4253,-96.3033,0
OK,35.6239,-96.025,0
OK,34.7253,-97.2814,-13.9937116
OK,36.6692,-96.3472,0
OK,36.2886,-97.2897,0
OK,36.1175,-97.095,0
OK,35.9369,-94.9644,-18.71308697
OK,34.1747,-97.9964,-18.55875198
OK,35.52,-98.6986,0
OK,35.4814,-95.2039,0
OR,42.2128,-122.7144,13.39386189
OR,44.0569,-121.285,6.251918159
OR,42.03,-124.2453,0
OR,44.3914,-122.4811,-9.850874126
OR,45.2325,-120.1817,6.693094629
OR,44.6342,-123.19,10.16112532
OR,43.7917,-123.0275,9.664706817
OR,42.8967,-122.1328,0
OR,42.9447,-117.3389,-13.42210732
OR,43.6656,-123.3275,5.896419437
OR,45.4539,-121.1303,8.836898396
OR,45.5247,-123.1025,0
OR,42.4244,-123.3236,0
