"Figure 2. Change in the Frequency of River Flooding in the United States, 1965–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Slater and Villarini, 2016",,
Web update: August 2016,,
Units: slope value,,
,,
latitude,longitude,value
45.45261834,-121.8914684,-0.002613255
39.06265453,-96.15025179,-0.002514425
42.73998843,-91.26179908,-0.002495763
33.32926607,-99.46508251,-0.002438945
35.15,-83.37972222,-0.002330646
42.70341694,-72.6706475,-0.002288771
37.72901408,-80.04228024,-0.002273197
48.26149178,-122.0476407,-0.002101716
39.17221259,-106.3891926,-0.002035451
36.64734972,-80.978969,-0.002016786
34.35451979,-99.74037187,-0.001984523
35.65198595,-105.3188997,-0.001977584
37.86260737,-98.01385325,-0.001973387
39.94777732,-96.10861492,-0.001965295
42.63841778,-72.7250922,-0.001891304
40.36284598,-81.86235635,-0.001747804
61.7097433,-149.231938,-0.001715182
36.62200294,-90.84762251,-0.001566857
42.8008637,-83.0902121,-0.00156581
41.37024471,-106.5205815,-0.001545326
37.03762635,-80.55672394,-0.001523678
41.52173586,-77.44747983,-0.001482145
34.37955418,-94.235763,-0.001423624
36.99137778,-91.01351111,-0.001397437
31.28489022,-97.88502445,-0.001362747
39.68192405,-96.44289431,-0.001342762
40.37091615,-77.40220903,-0.001236346
42.79083333,-118.8675,-0.001236346
38.35040774,-77.97499722,-0.001210475
30.88906941,-90.84454541,-0.001164698
46.59538432,-122.4595564,-0.001142922
43.87248893,-103.3365779,-0.001008446
36.19416667,-78.58305556,-0.000976372
44.32664897,-100.3843003,-0.000931018
43.83805556,-110.4411111,-0.000879588
39.79581958,-106.0305734,-0.000808102
35.88008235,-94.48660625,-0.000762193
37.26077707,-122.3288603,-0.000690165
41.32507836,-76.91246379,-0.000615395
37.79179587,-79.75949166,-0.000612672
37.6060452,-122.0238504,-0.000512826
45.30802638,-90.95652506,-0.000407243
37.06709421,-77.602489,-0.000304791
35.49305556,-81.68222222,-0.000304791
34.00426528,-97.566968,-0.00015419
35.46166667,-82.86972222,1.04325E-15
37.4722725,-88.54726928,5.31693E-05
27.47365137,-82.21120106,0.0001
44.36095451,-121.9956172,0.000184616
41.4758994,-77.82582513,0.000184616
37.62275721,-112.5168773,0.000213947
36.61958252,-79.50419322,0.000364375
34.82888889,-77.83222222,0.000384618
36.07138889,-81.40305556,0.000470781
38.53067996,-77.81360454,0.00048161
41.70001652,-91.48766843,0.000522503
41.0235791,-106.824766,0.00054676
41.38951168,-77.6908191,0.00054676
35.70836606,-105.6825171,0.000606312
37.03920157,-98.47021478,0.000671342
40.68367333,-78.23362439,0.000703312
38.80368382,-83.42102265,0.000950263
42.23731167,-72.8956542,0.000956379
45.70399863,-123.755405,0.000995518
43.46417856,-86.23256675,0.001071482
35.78562063,-83.88460359,0.001075483
41.29454,-73.39512028,0.001111166
38.01896828,-94.71366829,0.0011437
38.19540308,-79.57032338,0.001177898
46.48661442,-90.69629696,0.001323075
45.71957668,-118.3232913,0.001349889
43.82804586,-103.1960211,0.001355101
45.39956422,-122.1373068,0.00138528
39.14893485,-89.35230484,0.001406714
34.63843694,-94.6127236,0.001553719
37.70236251,-79.02752541,0.00157002
35.983175,-92.74755278,0.001599568
46.61732361,-123.277644,0.001698326
36.175,-81.16888889,0.00182101
41.36586984,-89.49842655,0.00182101
47.80674726,-124.2510329,0.001863372
33.03843236,-101.1976302,0.002035451
38.69345016,-78.64279353,0.002124326
41.31728467,-78.10305957,0.002330219
41.57895225,-78.29251214,0.002330646
48.42455859,-121.5684634,0.002386508
39.65613889,-79.39411111,0.002574704
38.18595326,-80.13062254,0.002574714
42.81099444,-98.17585833,0.002646729
47.35066169,-121.6631582,0.002656836
33.1667329,-108.6497786,0.002713499
46.75260766,-122.0837194,0.002761517
37.14013231,-80.26643281,0.00290504
41.85255871,-79.31727083,0.002930661
42.14481017,-74.65348886,0.003030408
42.70896944,-73.196773,0.003210138
30.716306,-94.95882373,0.003354321
42.1200874,-74.81849264,0.003372643
41.35702418,-76.53467084,0.003463339
30.48138889,-94.77972222,0.003537124
38.37899915,-80.48397372,0.003716832
45.17500833,-69.31469722,0.003805587
41.08815078,-75.03767469,0.00385603
40.13256823,-82.14792013,0.003977084
38.54372659,-79.83311495,0.003989144
39.08121763,-78.32944861,0.003995437
38.5873427,-77.4285958,0.004030809
43.16666553,-101.6301489,0.004112232
39.12288353,-79.68117409,0.004241394
43.75249491,-101.5248665,0.004646032
60.4769289,-151.0816675,0.004687349
43.56646306,-71.7478569,0.004717366
36.64596133,-80.91924444,0.004855021
39.01955309,-77.57749181,0.005156484
38.19645062,-96.82457873,0.00519839
48.67262872,-121.0728964,0.005236987
39.70219444,-79.13638889,0.005355319
47.23739444,-68.58264167,0.005380058
30.12936856,-84.49434823,0.005428883
38.99122107,-79.17587059,0.00544375
37.75046667,-93.26618333,0.005714369
39.06368935,-81.88180237,0.005880113
47.0006512,-123.4948838,0.005926166
36.31138889,-80.80722222,0.006035082
43.74729136,-75.33434745,0.006066756
45.25581712,-100.8429214,0.00613542
41.18697738,-90.96736632,0.006139242
42.16619633,-75.13989107,0.006214443
39.51077778,-76.6765,0.006220202
39.61563755,-79.70477427,0.006271586
42.1170341,-74.38014921,0.006289783
38.44171643,-89.41675104,0.006336905
34.28537757,-87.39890838,0.006460771
44.60797222,-67.93524167,0.006489426
43.74832745,-99.5564948,0.006580513
41.41840957,-77.03274598,0.006611691
46.6201042,-122.945126,0.006612071
48.65595877,-121.2384563,0.006666407
40.66176219,-75.626854,0.006699348
38.33762566,-79.24003625,0.007037858
40.02477041,-90.63179466,0.007104735
48.16872009,-121.4706723,0.00717779
40.32341928,-77.16887034,0.007214539
41.84370889,-72.1689661,0.00734339
39.62997222,-76.40330556,0.007362092
30.81888889,-93.78555556,0.007410023
42.6825859,-72.1150812,0.007448714
44.3345666,-122.0470074,0.007674669
47.68398059,-123.0115511,0.007795261
44.2686741,-71.63036172,0.007831401
44.43639239,-85.69867924,0.007887419
38.80422346,-85.67385502,0.007913718
37.71541868,-78.98169097,0.007948554
36.39777778,-79.19666667,0.007953022
43.94500632,-86.2786896,0.008000139
45.49428561,-122.0359167,0.008072119
37.28125445,-95.03266782,0.008110552
41.79090746,-77.01468773,0.008133771
40.6300362,-87.72391809,0.008205679
41.05950916,-77.60582641,0.008224575
43.14869556,-70.96506028,0.008293657
44.51172311,-71.8373143,0.008428212
43.60138549,-100.7498608,0.008496773
39.57005556,-79.10194444,0.008608122
39.61236111,-77.23744444,0.008634861
44.48248388,-103.861592,0.008723462
46.65093418,-123.6526584,0.009135457
37.86958499,-78.82335431,0.009146494
41.76645099,-78.71863999,0.009164995
41.7070195,-76.48466538,0.009173577
39.72283771,-83.88270656,0.009180995
40.14282371,-91.33737008,0.009265078
36.25027778,-81.04444444,0.009593366
41.89009153,-74.58987933,0.009594282
39.1357376,-120.4785353,0.009640989
43.7142361,-72.41814889,0.009901314
44.87739444,-71.05749444,0.009916054
47.71232365,-121.7887272,0.009943178
40.33032166,-90.89624511,0.009955574
48.58888752,-100.4420787,0.010135672
46.90371641,-122.0351092,0.010514459
48.01425781,-123.1326773,0.010623098
44.86893639,-72.2701042,0.010656286
44.39044444,-70.97964444,0.01096587
40.5203462,-79.93810799,0.010997891
44.15034134,-72.06509154,0.011091649
41.50449567,-84.42967186,0.011196606
39.27477321,-85.70164687,0.011207162
45.500975,-68.30595556,0.011466924
42.35337341,-85.35388936,0.011835621
42.3931287,-76.5449429,0.011849295
42.10619915,-74.7304349,0.011933817
41.86648184,-74.48710014,0.011987896
39.89842119,-78.13222904,0.012029195
41.08481482,-75.21462514,0.012031909
38.90577778,-75.51275,0.012102817
46.77260276,-122.5940086,0.012137582
38.85812494,-83.92853941,0.012148692
43.93450969,-72.65788214,0.012169879
39.07033129,-85.48607656,0.012220058
47.51425666,-123.3298868,0.012236322
42.31952821,-74.43653726,0.012290275
44.30399167,-70.53968056,0.012339664
45.29163167,-96.48755694,0.012467863
39.01004218,-87.9455882,0.01265105
38.22891667,-75.47144444,0.013036252
44.8692,-69.95510278,0.013127119
41.671765,-72.052298,0.013167422
41.10666667,-74.9522222,0.013323916
40.39240833,-91.597875,0.013408686
38.99719444,-75.78580556,0.013875967
41.07814118,-76.43105551,0.014233391
48.13833739,-100.5398623,0.014491022
43.02889277,-99.78067095,0.014532098
44.64274722,-70.58878333,0.015615258
47.70677144,-121.6001069,0.015753092
44.01359238,-103.8304784,0.015868752
40.92283322,-83.34881158,0.016417747
41.24688494,-93.26606966,0.01686619
18.03246444,-66.0323866,0.017587754
48.34108857,-96.81811688,0.017902867
41.21900212,-92.90853319,0.019510403
41.83124444,-100.1007778,0.019941147
43.7764,-98.24567222,0.020809311
47.22915623,-98.12481891,0.026395026
55.3951944,-132.4086268,0.027170109
44.14387557,-103.4549107,0.027351262
47.43277097,-98.02759541,0.02940265
47.5580525,-98.862885,0.033970202
40.95189005,-93.25984769,0.034143029
47.80555344,-98.71621718,0.039615746
