"Figure 5. Change in Unusually Cold Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days colder than 5th percentile,,,
,,,
State,Lat,Long,Change in 5 percent Days
MN,47.2992,-96.5161,0
MN,43.6064,-93.3019,0
MN,48.3311,-96.8253,0
MN,48.7094,-94.5869,-18.62751948
MN,44.8,-93.5833,-14.85065274
MN,46.7047,-92.5253,-8.670076726
MN,46.8372,-95.8372,-16.92354335
MN,43.6447,-94.4656,-10.64055944
MN,44.6697,-93.17,-13.20305716
MN,47.5636,-95.7244,0
MN,43.7047,-92.5644,0
MN,47.2436,-93.4975,-9.433503836
MN,47.2256,-95.1919,-6.943734015
MN,47.2467,-94.2228,0
MN,45.1219,-95.9269,-8.42455243
MN,44.9342,-95.7461,0
MN,45.8775,-93.3147,0
MN,45.5903,-95.8747,0
MN,44.3006,-94.4897,-10.71318164
MN,46.6694,-94.1089,-10.64578005
MN,44.0139,-96.3258,-6.512787724
MN,48.8486,-95.7675,-16.34726137
MN,44.3222,-93.9656,0
MN,46.7953,-93.3211,-12.44501279
MN,47.0258,-91.6653,-12.8516624
MN,47.0744,-94.57,-14.19863851
MN,43.7639,-94.1661,0
MN,44.2992,-92.6661,0
MS,33.83,-88.5214,0
MS,34.3061,-89.9806,-7.024296675
MS,34.6344,-88.5622,0
MS,31.5447,-90.4581,8.723785166
MS,32.6714,-90.0361,0
MS,34.1864,-90.5572,0
MS,31.2503,-89.8361,0
MS,34.8792,-88.6178,0
MS,32.36,-89.4208,0
MS,33.3592,-91.06,-14.92999737
MS,31.2547,-89.3392,-6.915601023
MS,34.8039,-90.0103,0
MS,34.8219,-89.4347,0
MS,33.0583,-89.5797,0
MS,31.6756,-89.1236,0
MS,33.1356,-89.0711,0
MS,31.5519,-90.1058,-11.42838875
MS,33.4517,-90.5097,-14.46675192
MS,31.5889,-91.3408,6.407928389
MS,30.3961,-88.4781,13.21688347
MS,34.1381,-88.9983,0
MS,30.8408,-89.5453,5.3657289
MS,31.985,-90.9719,-7.480818414
MS,33.4692,-88.7822,0
MS,34.3725,-89.5308,0
MS,34.1583,-89.6311,0
MS,31.6772,-88.6708,-7.608720065
MS,31.0931,-91.2325,-6.506730769
MS,32.9028,-90.3817,-19.36954887
MO,38.1869,-94.0281,0
MO,39.4247,-93.1331,0
MO,36.1261,-89.7,0
MO,38.395,-93.7711,0
MO,40.2394,-94.6833,0
MO,36.6206,-90.8125,0
MO,37.7922,-90.4103,0
MO,38.5853,-92.1825,0
MO,37.4933,-94.3147,-6.994652406
MO,37.685,-92.6936,-6.141943734
MO,39.1828,-93.855,0
MO,37.3908,-93.9489,0
MO,37.3036,-89.9664,-13.33503836
MO,39.1756,-91.8861,-10.24564793
MO,39.4194,-92.4369,0
MO,37.1542,-92.2617,0
MO,36.8639,-94.36,0
MO,37.9572,-91.7758,0
MO,40.2472,-93.7158,0
MO,39.9714,-91.8872,0
MO,38.9664,-93.4194,0
MO,40.475,-93.0031,0
MO,38.835,-91.1386,0
MT,47.4931,-112.3964,-13.72811522
MT,45.8328,-109.9503,0
MT,45.6622,-111.0453,-8.480818414
MT,47.2194,-111.71,-9.746803069
MT,48.5883,-109.2256,-7.460358056
MT,47.8206,-112.1919,-13.85288546
MT,45.2128,-112.6447,-12.61892583
MT,45.8903,-104.5461,-10.87851662
MT,45.3394,-111.7111,-6.891304348
MT,46.8511,-108.3133,-13.76299411
MT,48.4983,-109.8014,-10.37723785
MT,48.7783,-114.8997,-19.00094076
MT,47.1064,-104.7183,-9.856777494
MT,46.2553,-114.1642,-7.816275298
MT,44.8667,-111.3392,-9.42455243
MT,45.9228,-108.2444,-12.44819237
MT,45.9353,-107.1375,0
MT,47.3144,-106.9103,-13.53836317
MT,48.3042,-114.2636,-9.755754476
MT,48.4036,-115.5392,-20.45524297
MT,48.4828,-104.4514,-12.80818414
MT,47.0575,-109.9514,-11.80737283
MT,45.4856,-111.6325,-13.73785166
MT,46.3158,-113.3,-8.766407335
MT,46.4178,-104.5164,-13.98976982
MT,45.1897,-109.2861,0
MT,47.315,-114.0983,-12.70079685
MT,47.4536,-104.3378,-14.23017903
MT,48.3119,-112.2492,-15.68811189
MT,47.88,-105.3686,-12.30622217
MT,45.2925,-111.9481,-11.42838875
NE,41.6853,-98.0083,-9.911688609
NE,42.1103,-102.8967,-7.106003947
NE,41.0408,-96.3811,0
NE,42.5136,-99.0303,-9.397406581
NE,40.3706,-95.7469,0
NE,40.1306,-99.8278,0
NE,41.6681,-103.1039,-11.00127877
NE,41.4083,-99.675,0
NE,40.6194,-96.9469,-7.436061381
NE,40.6742,-100.4936,-6.052272828
NE,41.2492,-97.1328,0
NE,40.0739,-97.1669,0
NE,40.6422,-97.5928,0
NE,40.5314,-97.5964,-10.83631714
NE,41.4514,-97.7644,-6.713554987
NE,40.9394,-100.1514,-6.379795396
NE,42.6858,-103.8842,0
NE,42.6167,-97.2608,-6.111253197
NE,40.6472,-98.3836,0
NE,40.175,-97.5903,-6.680306905
NE,40.4517,-99.3803,0
NE,40.5208,-101.655,0
NE,41.2453,-103.6344,0
NE,41.1489,-102.6361,0
NE,41.2808,-98.9681,0
NE,41.8292,-97.45,-8.260629793
NE,40.2156,-100.6203,0
NE,42.9194,-101.7089,-10.40250437
NE,40.5156,-98.9514,0
NE,41.4933,-98.7747,-7.556923774
NE,42.0644,-97.9667,0
NE,40.1217,-96.1558,0
NE,42.065,-100.2472,0
NE,40.0978,-98.5197,0
NE,41.2078,-98.4608,-13.02173201
NE,40.8997,-97.0908,0
NE,40.6661,-96.1892,0
NE,40.3544,-96.1939,0
NE,41.7767,-96.2328,0
NE,42.2647,-96.8667,-7.49488491
NE,40.8639,-96.1414,-6.007872504
NE,40.8678,-97.5922,-8.152670545
NV,39.4931,-117.0675,-17.54228286
NV,35.98,-114.8464,-24.03624964
NV,39.4572,-118.7811,-14.94505717
NV,40.9567,-117.4922,-19.40751689
NV,40.1906,-118.4767,0
NV,39.4136,-114.7733,0
NV,38.3844,-118.1056,-17.60741688
NV,35.4661,-114.9217,-14.46035806
NV,41.1006,-114.9736,-8.759333679
NH,43.1433,-70.95,0
NH,45.09,-71.2906,0
NH,43.7053,-72.2856,-8.864450128
NH,42.9389,-72.3247,0
NJ,40.8922,-74.4033,-7.505988789
NJ,41.0347,-74.4233,0
NJ,40.5631,-74.8831,-8.303069054
NJ,40.265,-74.5642,0
NJ,39.8144,-74.7883,-9.189258312
NJ,40.2797,-74.0047,0
NJ,39.9511,-74.9697,0
NJ,40.6036,-74.4025,-8.030972774
NM,36.835,-108.0006,-11.18158568
NM,35.5297,-104.0936,-12.96774194
NM,32.3478,-104.2225,-5.572890026
NM,33.6308,-105.8964,-7.767582418
NM,36.9178,-106.5781,0
NM,36.4661,-104.9456,0
NM,36.9358,-107,-17.25831202
NM,33.1461,-107.1844,-14.61718431
NM,32.7939,-108.1514,-31.21006144
NM,34.4667,-104.2319,0
NM,32.2261,-108.0867,-22.30766799
NM,35.7783,-106.6872,-6.925831202
NM,32.6161,-106.7403,-12.19181586
NM,34.7675,-106.7611,0
NM,33.8225,-108.9417,-15.06896552
NM,32.9539,-105.8225,-13.09590793
NM,34.5208,-106.2606,0
NM,32.3789,-106.0925,-14.90003438
NM,36.71,-105.4164,-28.15751459
NM,35.1086,-103.3283,-14.89002558
NM,34.9358,-104.6805,-8.955381241
NM,34.0828,-106.8831,0
NM,36.3628,-104.585,-16.27656338
NM,32.2822,-106.7597,-31.597874
NM,35.2006,-103.6867,-6.960358056
NM,33.0719,-106.0411,0
NY,42.1014,-77.2344,0
NY,42.2497,-77.7583,0
NY,42.1003,-78.7497,0
NY,42.3108,-78.0231,0
NY,43.0303,-78.1692,-6.867007673
NY,40.9461,-72.3069,0
NY,44.8786,-73.3953,0
NY,42.7167,-74.9267,-5.835038363
NY,42.6,-76.1833,-8.98951782
NY,44.7192,-73.7206,0
NY,42.5656,-77.7175,0
NY,42.0628,-75.4264,-15.15837104
NY,41.0072,-73.8344,0
